"","Treatment","Genus","Phylum","N","Abundance","sd","se","ci"
"107","Antibacterial+Antifungal","unc_Longimicrobiaceae","Gemmatimonadetes",19,55.2105263157895,62.9087336697364,14.4322533017103,30.3210390519046
"108","Antifungal","unc_Longimicrobiaceae","Gemmatimonadetes",17,61.1176470588235,74.9015039509732,18.1662830769106,38.5107997618963
"109","Antibacterial","unc_Longimicrobiaceae","Gemmatimonadetes",21,77.0476190476191,62.9018888352935,13.7263174734967,28.6325965152808
"110","Positive Control","unc_Longimicrobiaceae","Gemmatimonadetes",18,91.7777777777778,73.3385024916136,17.2860508112955,36.4703792808895
"111","Negative Control","unc_Paenibacillaceae","Firmicutes",20,0,0,0,0
"112","Antibacterial+Antifungal","unc_Paenibacillaceae","Firmicutes",19,2.47368421052632,2.63245599420076,0.603926823791526,1.26880317479638
"113","Antifungal","unc_Paenibacillaceae","Firmicutes",17,3.94117647058824,4.78892717938076,1.1614854467046,2.46223915343744
"114","Antibacterial","unc_Paenibacillaceae","Firmicutes",21,13.952380952381,14.8205134542505,3.23410117820068,6.74621684248608
"115","Positive Control","unc_Paenibacillaceae","Firmicutes",18,54.7222222222222,33.4273673640161,7.87890604676989,16.6230387137602
"116","Negative Control","unc_Sphingobacteriaceae","Bacteroidetes",20,0,0,0,0
"117","Antifungal","unc_Sphingobacteriaceae","Bacteroidetes",17,11.6470588235294,10.7351128107172,2.60364729538283,5.51948569878515
"118","Antibacterial+Antifungal","unc_Sphingobacteriaceae","Bacteroidetes",19,14,11.4455231422596,2.62578309121398,5.5165655692237
"119","Antibacterial","unc_Sphingobacteriaceae","Bacteroidetes",21,17.4285714285714,14.8747148832219,3.2459288996786,6.77088903715346
"120","Positive Control","unc_Sphingobacteriaceae","Bacteroidetes",18,21.1111111111111,14.5030986096436,3.41841312503206,7.2122212626625
"121","Negative Control","unc_Xanthomonadales Incertae Sedis","Gammaproteobacteria",20,0,0,0,0
"122","Antifungal","unc_Xanthomonadales Incertae Sedis","Gammaproteobacteria",17,1.88235294117647,3.15995160052287,0.766400836517375,1.62469719466079
"123","Antibacterial","unc_Xanthomonadales Incertae Sedis","Gammaproteobacteria",21,3.14285714285714,2.26463494377602,0.494183859585509,1.03084946732414
"124","Antibacterial+Antifungal","unc_Xanthomonadales Incertae Sedis","Gammaproteobacteria",19,3.89473684210526,6.64909966204369,1.52540807854626,3.20476345257956
"125","Positive Control","unc_Xanthomonadales Incertae Sedis","Gammaproteobacteria",18,5.22222222222222,5.04748691756665,1.18970407578726,2.51005619210774
